Date,PMR
09-Mar-20,380799.43
10-Mar-20,365754.99
11-Mar-20,377400.65
12-Mar-20,375453.07
13-Mar-20,368356.96
14-Mar-20,334336.35
15-Mar-20,338442.55
16-Mar-20,341264.45
17-Mar-20,331890.39
18-Mar-20,324548.25
19-Mar-20,316890.90
20-Mar-20,336644.10
21-Mar-20,300238.82
22-Mar-20,308674.03
23-Mar-20,345680.42
24-Mar-20,309533.19
25-Mar-20,306770.31
26-Mar-20,301840.09
27-Mar-20,286846.07
28-Mar-20,274144.05
29-Mar-20,271409.02
30-Mar-20,283226.66
31-Mar-20,258711.39
01-Apr-20,219327.32
02-Apr-20,224628.35
03-Apr-20,237331.36
04-Apr-20,226840.73
05-Apr-20,230124.44
06-Apr-20,248556.65
07-Apr-20,248499.01
08-Apr-20,247329.19
09-Apr-20,245817.24
10-Apr-20,256759.22
11-Apr-20,277990.77
12-Apr-20,238817.64
13-Apr-20,263432.97
14-Apr-20,260074.29
15-Apr-20,261003.43
16-Apr-20,257472.04
17-Apr-20,266440.20
18-Apr-20,251015.37
19-Apr-20,255396.53
20-Apr-20,274896.89
21-Apr-20,293296.16
22-Apr-20,298044.52
23-Apr-20,303469.15
24-Apr-20,294347.44
25-Apr-20,274564.85
26-Apr-20,276499.36
27-Apr-20,294169.47
28-Apr-20,298089.46
29-Apr-20,291634.74
30-Apr-20,283586.91
01-May-20,290247.64
02-May-20,261543.29
03-May-20,262571.77
04-May-20,285715.15
05-May-20,285631.85
06-May-20,287357.07
07-May-20,296361.03
08-May-20,296672.58
09-May-20,274580.79
10-May-20,270337.23
11-May-20,277620.76
12-May-20,290264.47
13-May-20,297201.75
14-May-20,312669.30
15-May-20,284464.32
16-May-20,280024.99
17-May-20,280972.99
18-May-20,297293.52
19-May-20,318630.50
20-May-20,326967.36
21-May-20,338247.31
22-May-20,329463.97
23-May-20,301486.18
24-May-20,305969.72
25-May-20,312308.43
26-May-20,337894.48
27-May-20,327416.72
28-May-20,326409.32
29-May-20,328927.33
30-May-20,289749.07
31-May-20,275795.80
01-Jun-20,307584.11
02-Jun-20,257777.08
03-Jun-20,311918.77
04-Jun-20,318367.44
05-Jun-20,328798.12
06-Jun-20,302911.73
07-Jun-20,314592.05
08-Jun-20,336455.60
09-Jun-20,345447.31
10-Jun-20,362791.10
11-Jun-20,367959.00
12-Jun-20,380018.91
13-Jun-20,349091.41
14-Jun-20,351092.99
15-Jun-20,383418.31
16-Jun-20,401747.47
17-Jun-20,407828.54
18-Jun-20,418141.76
19-Jun-20,410392.90
20-Jun-20,379759.43
21-Jun-20,387945.33
22-Jun-20,445762.33
23-Jun-20,451075.51
24-Jun-20,452992.90
25-Jun-20,476140.81
26-Jun-20,474360.00
27-Jun-20,453581.24
28-Jun-20,421822.82
29-Jun-20,447402.18
30-Jun-20,375738.33
01-Jul-20,323073.10
02-Jul-20,336712.62
03-Jul-20,323675.91
04-Jul-20,294347.18
05-Jul-20,309502.26
06-Jul-20,341200.16
07-Jul-20,345978.90
08-Jul-20,361951.95
09-Jul-20,359173.65
10-Jul-20,351459.58
11-Jul-20,320577.63
12-Jul-20,324707.32
13-Jul-20,361270.30
14-Jul-20,374173.67
15-Jul-20,386037.54
16-Jul-20,386377.15
17-Jul-20,374796.82
18-Jul-20,340109.30
19-Jul-20,346216.42
20-Jul-20,385547.02
21-Jul-20,404286.74
22-Jul-20,415796.09
23-Jul-20,447906.37
24-Jul-20,445674.56
25-Jul-20,410721.44
26-Jul-20,430106.14
27-Jul-20,453400.86
28-Jul-20,453384.74
29-Jul-20,455848.03
30-Jul-20,455711.10
31-Jul-20,395843.52
01-Aug-20,331075.44
02-Aug-20,333495.90
03-Aug-20,363488.51
04-Aug-20,364909.56
05-Aug-20,373306.83
06-Aug-20,423557.15
07-Aug-20,419640.45
08-Aug-20,381023.35
